warehouse_id,sku,MAE_given,RMSE_given,MAPE_given,MAE_moving_avg,RMSE_moving_avg,MAPE_moving_avg,MAE_holt_winters,RMSE_holt_winters,MAPE_holt_winters
S001,P0001,10.686166666666669,12.125029140858453,16.784349139400852,96.70238095238095,113.03071793666939,330.91145295135635,82.03157688834246,99.8203284770123,240.97538365389832
S001,P0002,8.8395,10.682505714172745,27.832876324378475,92.58571428571427,125.46461408602468,184.54815518027425,93.46653593025714,116.0660699193549,267.7807516756247
S001,P0003,8.201166666666667,10.114215161510721,17.129553782577474,87.70238095238095,106.1396573894428,359.39670838140023,90.99681563244256,107.24059410157746,406.5534483772529
S001,P0004,8.649000000000003,9.871891071792342,11.105990861970847,105.49047619047617,140.96884395491932,78.96116881938994,95.86394122880033,109.27931317151224,147.58724745469863
S001,P0005,8.978833333333334,10.499285769359107,34.75212808041118,86.02857142857144,105.71038924608037,328.82767370204004,83.95614262807868,105.33422530395862,311.96140871874667
S001,P0006,8.5885,10.260226362025353,16.271280032154774,89.63809523809523,103.31416653490808,271.16643774388035,78.8425697220876,93.95466703475503,223.30140821813788
S001,P0007,7.943333333333334,9.604968852977436,18.807917622475248,86.59523809523809,108.64813393152559,184.32465369790344,87.55824875616628,110.1124789715992,175.48475109909748
S001,P0008,8.99633333333333,10.664181793899301,41.50119416361856,155.26190476190484,172.48086949031782,947.6585604935883,73.95562004328448,90.73387917602736,459.9975732455153
S001,P0009,8.537833333333335,10.149462793665487,15.272940065486459,85.50714285714284,100.67490449241969,204.3265295624784,84.06301878136613,100.1932655571412,189.5231851603232
S001,P0010,8.152999999999999,9.74262113944018,16.220498868979146,86.6595238095238,108.21440515473527,166.24235547838958,89.99335197527792,107.63080822601123,197.0177007443096
S001,P0011,7.364833333333335,8.926111602110593,17.883958196624945,101.1,122.70914119711429,253.01099984432162,100.12628700058902,120.03163952593954,295.24405422242944
S001,P0012,8.413666666666668,10.072854113904365,21.896715627758006,91.51666666666667,104.58704508685577,483.85447129823166,88.94596769972486,104.08423261821925,469.9728371492941
S001,P0013,7.202666666666664,9.172130613984953,23.307864177797764,74.20714285714286,95.54071860502528,373.4808333438503,76.75681330925491,96.7732075817461,414.36036434525977
S001,P0014,8.174666666666665,10.087937846755398,26.777450984956815,96.6142857142857,115.17676447456722,322.96615401309606,97.3912890135965,114.81559971364614,319.416175979229
S001,P0015,8.076833333333335,10.079808777948122,30.84373647852357,93.26428571428569,131.25136993130218,162.57359475756482,88.10357385022897,102.42741898144806,469.6433125503295
S001,P0016,9.252666666666668,10.895872154169211,45.20839020375721,117.61190476190477,133.15225927358446,561.9414869045467,94.7953358685459,112.89364364317817,394.8021538485722
S001,P0017,8.691666666666666,10.510328412249226,17.14539969856093,98.9,113.07239568819026,269.8438367327751,89.85823486687097,107.81910811325642,220.40321379490376
S001,P0018,8.990166666666672,10.625732837472121,39.49421534442056,79.55714285714285,104.83045592668154,328.9222320471636,86.43800682273873,105.90158915907837,399.06681506739625
S001,P0019,9.0565,10.631156020552671,18.278231576666986,78.75,99.37513102716728,182.37843541222003,82.02759216758812,100.42967389613686,208.508305785559
S001,P0020,8.353500000000002,10.115523960724921,15.498370418222002,81.1404761904762,94.98320116421303,211.36273118228624,75.20595143743334,91.82413186033148,181.63213121923016
S002,P0001,7.895833333333334,9.419425053225561,23.275408812741226,91.37142857142857,107.86138749137537,599.6249256184816,87.21057931824296,104.39379241069167,511.82101028415775
S002,P0002,9.56033333333333,11.405366280834649,39.117441041222975,71.95952380952379,104.47931312345185,296.684334036353,86.40885795449451,107.25581782622491,485.92529486754216
S002,P0003,9.051833333333336,10.495515788500663,23.098550616075595,78.74761904761905,106.35801112568927,234.68024024174085,82.64678338141087,103.80294388491394,300.10733282617343
S002,P0004,9.1875,10.974888837705828,19.637874304933884,88.36904761904763,102.75064095998172,229.5471277463578,88.42222376347873,103.24867276918698,227.24778415220464
S002,P0005,8.219166666666666,9.724677115462498,22.720533383906215,77.30952380952382,95.13240325809005,263.08345217205897,75.59596319740055,94.6937585963722,247.0951261196545
S002,P0006,7.500333333333333,8.729495212592003,11.55380926700222,82.7,98.43508859480275,128.94970442991243,74.25859680789542,98.79647247561314,98.78204617907079
S002,P0007,7.871166666666668,9.88089039510104,46.108641933109276,106.84047619047618,140.19934180365067,513.2744999839738,109.42166442245232,130.11287881878744,709.1581030246065
S002,P0008,8.181166666666666,9.524420804787379,14.108344639361766,90.56190476190476,108.32310888433432,154.43719156305986,90.71707157860511,106.86600085974447,159.10053120177886
S002,P0009,8.720833333333333,10.380494288166949,12.118620149703464,88.88333333333334,118.37347647160148,137.30108461647706,90.92953208048742,117.68415407827922,151.51050330783235
S002,P0010,8.555499999999999,10.259165739311685,48.238571398084105,102.63333333333334,143.72009833932992,262.1490800621377,102.8668601901497,125.62413389493467,489.4509562480917
S002,P0011,8.234666666666667,9.80742303903868,21.443098329367594,90.65952380952382,103.68300230021502,358.3680934313669,84.76631811173694,98.15397277206905,323.9369890858742
S002,P0012,8.223166666666666,9.987349247923595,18.684592324326875,164.78333333333333,183.76420580007775,519.0861091223566,100.40439856571521,115.85904366147524,267.0877208104292
S002,P0013,8.851833333333332,10.127141172775923,58.538592870595,93.10238095238095,115.35736694656104,704.3159846436819,94.48147036454455,118.11575100934616,604.6170925188534
