warehouse_id,sku,mean_daily_demand,std_daily_demand,total_units_sold,mean_price,category,cv,consumption_value
S001,P0001,137.3064295485636,108.18785893813579,100371,55.05737346101232,Groceries,0.788,5526163.63
S001,P0002,131.03830369357044,104.31321989990398,95789,55.45325581395349,Furniture,0.796,5311811.92
S001,P0003,141.4404924760602,107.21122514209723,103393,54.33708618331054,Groceries,0.758,5618074.35
S001,P0004,140.90424076607388,113.6441170415594,103001,55.605991792065666,Electronics,0.807,5727472.76
S001,P0005,133.1299589603283,107.36887290250596,97318,53.894103967168256,Groceries,0.806,5244866.41
S001,P0006,130.6730506155951,109.01526133639567,95522,55.2903830369357,Groceries,0.834,5281447.97
S001,P0007,137.8235294117647,111.19889766930544,100749,54.703529411764706,Electronics,0.807,5511325.88
S001,P0008,137.1326949384405,108.69904492649799,100244,55.131668946648425,Electronics,0.793,5526619.02
S001,P0009,131.43638850889192,107.08680253328265,96080,55.40010943912449,Furniture,0.815,5322842.51
S001,P0010,132.3611491108071,105.91637083958466,96756,56.620465116279064,Toys,0.8,5478369.72
S001,P0011,132.4924760601915,109.90265124887547,96852,54.38160054719562,Electronics,0.83,5266966.78
S001,P0012,128.39124487004105,102.24027638373987,93854,54.03842681258549,Clothing,0.796,5071722.51
S001,P0013,132.87414500683994,109.16111268388767,97131,54.802900136798904,Groceries,0.822,5323060.49
S001,P0014,136.62106703146375,110.66719227478023,99870,55.52217510259918,Toys,0.81,5544999.63
S001,P0015,137.88645690834474,112.80404622056196,100795,54.64704514363885,Furniture,0.818,5508148.92
S001,P0016,132.9329685362517,107.53893029050003,97174,55.88120383036936,Groceries,0.809,5430200.1
S001,P0017,136.44870041039673,108.96537609105432,99744,55.53049247606019,Clothing,0.799,5538833.44
S001,P0018,138.81668946648426,109.09711293085292,101475,55.28614227086183,Electronics,0.786,5610161.29
S001,P0019,134.73050615595076,109.54662427486042,98488,55.11626538987688,Clothing,0.813,5428290.75
S001,P0020,138.3638850889193,111.24549679398355,101144,55.541367989056084,Toys,0.804,5617676.12
S002,P0001,145.00547195622434,113.5742710234577,105999,53.701709986320104,Groceries,0.783,5692327.56
S002,P0002,128.78659370725035,106.05093573707896,94143,56.036757865937076,Furniture,0.823,5275468.5
S002,P0003,133.00547195622434,111.33821100723073,97227,55.012941176470584,Groceries,0.837,5348743.23
S002,P0004,138.4268125854993,108.64648488267214,101190,54.794582763337885,Electronics,0.785,5544663.83
S002,P0005,132.5718194254446,104.43645888526372,96910,56.30813953488372,Groceries,0.788,5456821.8
S002,P0006,133.26675786593708,105.04498046477056,97418,54.17949384404925,Groceries,0.788,5278057.93
S002,P0007,137.62106703146375,112.77169344850438,100601,54.6489876880985,Electronics,0.819,5497742.81
S002,P0008,128.8987688098495,106.8498402822629,94225,55.95887824897401,Electronics,0.829,5272725.3
S002,P0009,144.1532147742818,112.42161860021477,105376,55.47526675786593,Furniture,0.78,5845761.71
S002,P0010,135.44733242134063,112.86893066737879,99012,54.85242134062928,Toys,0.833,5431047.94
S002,P0011,135.62927496580028,108.68977175552503,99145,57.95499316005472,Electronics,0.801,5745947.8
S002,P0012,140.25718194254446,111.77827643111473,102528,52.90084815321477,Clothing,0.797,5423818.16
S002,P0013,134.22161422708618,106.21054367142533,98116,55.17993160054719,Groceries,0.791,5414034.17
S002,P0014,134.406292749658,105.0137912081489,98251,55.67681258549931,Toys,0.781,5470302.51
S002,P0015,130.78796169630644,104.00118633453319,95606,54.904705882352935,Furniture,0.795,5249219.31
S002,P0016,138.24760601915185,108.40938507185744,101059,55.531792065663474,Groceries,0.784,5611987.37
S002,P0017,132.31053351573186,106.46327110498018,96719,53.28300957592339,Clothing,0.805,5153479.4
S002,P0018,140.19425444596442,111.48600511636609,102482,54.40798905608755,Electronics,0.795,5575839.53
S002,P0019,131.82626538987688,107.4316025524728,96365,54.48688098495212,Clothing,0.815,5250628.29
S002,P0020,144.10807113543092,113.53653966400911,105343,56.87057455540356,Toys,0.788,5990916.94
S003,P0001,129.4391244870041,106.35729419659694,94620,56.07571819425444,Groceries,0.822,5305884.46
S003,P0002,142.74965800273597,111.97201942201693,104350,53.98410396716826,Furniture,0.784,5633241.25
S003,P0003,126.6155950752394,102.90707992614607,92556,55.43459644322846,Groceries,0.813,5130804.51
S003,P0004,132.2298221614227,104.88645778759336,96660,55.08593707250342,Electronics,0.793,5324606.68
S003,P0005,144.1969904240766,109.33996019314995,105408,54.43176470588236,Groceries,0.758,5737543.45
S003,P0006,139.7715458276334,114.09931295432166,102173,56.278796169630645,Groceries,0.816,5750173.44
S003,P0007,138.8016415868673,110.78787727331068,101464,56.67221614227086,Electronics,0.798,5750189.74
S003,P0008,133.87688098495212,109.75859512814928,97864,54.294993160054716,Electronics,0.82,5313525.21
S003,P0009,140.46785225718193,112.71413711169038,102682,54.2072366621067,Furniture,0.802,5566107.47
S003,P0010,136.00820793433653,109.32285947490756,99422,55.109726402188784,Toys,0.804,5479119.22
S003,P0011,138.703146374829,108.62368483850555,101392,56.45790697674419,Electronics,0.783,5724380.1
S003,P0012,137.52257181942545,111.9082328160302,100529,54.289179206566345,Clothing,0.814,5457636.9
S003,P0013,147.03009575923392,112.60350695220833,107479,55.95893296853625,Groceries,0.766,6014410.16
S003,P0014,143.89603283173736,113.02368583435276,105188,55.805362517099866,Toys,0.785,5870054.47
S003,P0015,138.3296853625171,108.01200812129186,101119,54.266142270861835,Furniture,0.781,5487338.04
S003,P0016,141.7797537619699,111.65492057297993,103641,53.48001367989056,Groceries,0.788,5542722.1
